Construction year,Covered parking spaces,Outdoor parking spaces,Living area,Living room,Dining room,Kitchen type,Bedrooms,Dressing room,Bathrooms,Toilets,Office,Furnished,TV cable,Surface of the plot,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water & electricity",Garden,Garden orientation,Terrace,price,zipcode,Available as of,Available date,Neighbourhood or locality,Floor,Number of floors,Building condition,Number of frontages,Surroundings type,Living room surface,Kitchen surface,Bedroom 1 surface,Bedroom 2 surface,Basement,Terrace surface,Bedroom 3 surface,Armored door,Office surface,Street frontage width,Shower rooms,Primary energy consumption,Energy class,Unnamed: 47,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Planning permission obtained,Extra information,Virtual visit,Elevator,Accessible for disabled people,Intercom,Swimming pool,Tenement building,Address,Website,Flood zone type,Attic,Width of the lot on the street,Property name,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Bedroom 4 surface,Professional space surface,Garden surface,How many fireplaces?,Basement surface,Attic surface,Bedroom 5 surface,Visio phone,Laundry room,Professional space,As built plan,Heating type,Double glazing,Obligation to build,Terrace orientation,Number of annexes,Secure access / alarm,Jacuzzi,Sauna,External reference,Total ground floor buildable,Isolated,Caretaker,Air conditioning,Internet
2022,11,11,81,Yes,Yes,USA hyper equipped,2,Yes,1,2,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€400,000",1050,Immediately,July 1 2022 - 12:00 AM,'Piétonnier Chaussée d'Ixelles',1,3,As new,3,Isolated,30,6,16,14,Yes,5,8,Yes,7,40 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,Isolated,30,Yes,Yes,2,16,Yes,1,Yes,Yes,Yes,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€313,500",1090,July 1 2022 - 12:00 AM,bruxelles,2022,3,As new,40 m,11,88,USA hyper equipped,6,14,1,No,5,8,10,7,3,2,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.",After signing the deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,Isolated,22,Yes,Yes,11,12,Yes,1,Yes,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,Make,4020,June 21 2022 - 12:00 AM,1930,2022,2,Good,8 m,Urban,,Installed,2,15,1,No,After signing the deed,8,10,7,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.",After signing the deed,66,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,Isolated,22,Yes,Yes,11,12,Yes,1,Yes,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€169,500",8710,June 21 2022 - 12:00 AM,1930,2022,2,Good,8 m,Urban,,Installed,2,15,1,No,After signing the deed,8,10,7,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,No,"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.",After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,Isolated,22,Yes,Yes,11,12,Yes,1,Yes,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€174,925",8791,To be defined,1930,2022,2,Good,8 m,Urban,,Installed,2,15,1,No,After signing the deed,8,10,7,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,Isolated,22,Yes,Yes,11,12,Yes,1,Yes,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€187,454",8790,To be defined,1930,2022,2,Good,8 m,Urban,,Installed,2,15,1,No,After signing the deed,8,10,7,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,1,1,99,Yes,Yes,11,2,Yes,1,Yes,No,No,Yes,460,No,No,No,No,Connected,Yes,Yes,East,Yes,"€365,000",1330,After signing the deed,1930,2022,2,Good,To renovate,4,,Installed,2,15,1,No,After signing the deed,8,10,7,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1,1,150,Yes,Yes,Semi equipped,3,Yes,1,1,No,No,Yes,748,No,No,No,No,Connected,Yes,Yes,East,Yes,"€389,000",3500,After signing the deed,1930,2022,2,Good,To be done up,3,Urban,32,9,14,14,No,5,10,10,7,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,1,1,155,Yes,Yes,Semi equipped,4,Yes,1,1,No,No,Yes,697,No,No,No,No,Connected,Yes,Yes,East,Yes,"€199,000",3740,After signing the deed,1930,2022,2,Good,To renovate,4,Countryside,28,14,16,13,Yes,5,13,10,7,17 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1,1,65,Yes,Yes,Semi equipped,1,Yes,1,2,No,No,Yes,697,No,No,No,No,Connected,Yes,Yes,East,Yes,"€140,000",3800,After signing the deed,1930,2022,1,2,Good,2,Urban,28,9,16,13,Yes,3,13,10,7,17 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,1,1,130,Yes,Yes,Semi equipped,2,Yes,1,1,No,No,Yes,336,No,No,No,No,Connected,Yes,Yes,East,Yes,"€185,000",3800,After signing the deed,1930,2022,1,2,Good,2,Urban,23,15,15,11,Yes,3,13,10,7,5 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,1,49,Yes,Yes,USA installed,1,No,1,1,No,No,No,336,No,No,No,No,Connected,Yes,Yes,East,Yes,"€189,000",9040,After signing the deed,1930,2022,1,2,As new,2,Urban,29,7,10,11,Yes,11,13,No,7,5 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,1,125,Yes,Yes,USA installed,3,No,1,1,No,No,No,90,No,No,Yes,No,Connected,Yes,Yes,South East,Yes,"€299,000",9040,After signing the deed,1930,2022,1,2,Good,2,Urban,30,12,21,11,Yes,24,20,No,7,4.8 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,1,115,Yes,Yes,Semi equipped,3,No,1,1,Yes,No,No,64,No,No,No,No,Connected,No,Yes,South East,Yes,"€261,000",9040,After signing the deed,1930,2022,1,2,To renovate,2,Urban,26,13,14,14,Yes,6,10,No,10,4.8 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,240,Yes,Yes,Hyper equipped,5,Yes,2,3,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€495,000",9800,After signing the deed,1930,2022,1,2,To renovate,2,Urban,26,13,14,14,Yes,6,10,No,10,4.8 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,91,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€365,000",9800,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,4,7,As new,2,Urban,22,4,16,10,Yes,12,10,No,10,4.8 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,91,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€375,000",9800,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,5,7,As new,2,Urban,22,4,16,10,Yes,12,10,No,10,4.8 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,203,Yes,Yes,Hyper equipped,3,Yes,2,3,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€1,839,000",1050,After signing the deed,January 1 2000 - 12:00 AM,1 - Bruxelles Centre,7,9,As new,2,Urban,60,4,18,16,Yes,76,15,Yes,10,4.8 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,78,Yes,Yes,Hyper equipped,1,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€220,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,2,As new,4,Urban,15,7,18,16,Yes,10,15,Yes,10,4.8 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,76,Yes,Yes,Hyper equipped,1,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€254,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,1,3,As new,4,Urban,19,7,14,16,Yes,11,15,Yes,10,4.8 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,76,Yes,Yes,Hyper equipped,1,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€259,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,3,As new,4,Urban,19,7,14,16,Yes,11,15,Yes,10,4.8 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,After signing the deed,66,No,Yes,No,Not specified,,"Roterijstraat, 202",,Non flood zone,Yes,,Cicindriawijk I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
